TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
AIEC11;89,01;3,80;0,89;458.137,17;4,35;;;483.596.768,76;2.892,00;Ativa;
ALZR11;128,84;4,79;1,26;1.517.383,31;5,05;-7,43;8,35;459.176.735,74;85.800,00;Ativa;
ANCR11B;3.400,00;1,10;1,02;3.400,00;1,27;;;1.499.236.897,56;55,00;Ativa;
AQLL11;399,93;0,00;0,27;393,50;0,00;;;146.415.529,06;37,00;Ativa;
ATWN11;0,00;0,00;;;0,44;;;207.699.194,71;2,00;Passiva;
BRLA11;0,00;0,00;;;1,08;;;122.505.179,38;84,00;Ativa;
ERCR11;0,00;0,00;;;0,13;;;222.673.897,46;13,00;Passiva;
HGIC11;105,50;0,00;1,03;116.533,57;0,30;;;13.140.665,49;7,00;Ativa;
LKDV11;0,00;0,00;;;76,54;;;21.905.481,61;57,00;Ativa;
ROOF11;0,00;0,00;;;49,26;;;17.277.989,41;28,00;Ativa;
PRTS11;117,70;0,00;1.307,78;;31,16;;;5.080.534,88;13,00;Ativa;
BBFO11;91,52;1,52;0,96;85.283,17;1,52;;;379.930.419,60;3.729,00;Passiva;
BBPO11;114,95;11,21;1,14;3.383.121,17;5,00;2,07;-8,07;1.601.777.328,99;65.715,00;Passiva;
BBRC11;115,43;10,07;1,03;250.555,09;3,79;1,97;-7,64;179.020.584,78;8.524,00;Passiva;
BLMC11;0,00;0,00;;;4,03;;;9.934.269,90;1,00;Ativa;
BPML11;88,21;0,91;0,64;1.009.982,26;6,82;;;593.265.060,03;906,00;Ativa;
BRCO11;109,35;6,05;1,01;3.091.901,94;3,49;;;1.602.722.548,57;29.012,00;Ativa;
BICE11;0,00;0,00;;;109,22;;;683.599,14;88,00;Ativa;
CORM11;0,00;0,00;;;100,08;;;52.282.181,50;62,00;Ativa;
CJFI11;0,00;0,00;;;1,13;;;80.029.836,16;1,00;Ativa;
FAED11;165,99;9,08;0,78;149.098,71;1,51;-5,90;-9,24;137.332.028,93;5.150,00;Passiva;
FAMB11B;1.215,99;12,39;0,35;62.477,89;8,87;-9,82;-31,00;366.285.777,03;3.820,00;Passiva;
FATN11;98,10;4,36;0,98;56.829,96;0,83;;;55.626.400,22;192,00;Ativa;
FISD11;0,00;0,00;;;0,00;;;122.224.709,66;25,00;Ativa;
EGYR11;0,00;0,00;;;0,01;;;93.170.484,14;1,00;Passiva;
GSFI11;3,98;0,00;0,29;92.304,49;0,13;;;953.239.815,02;5.391,00;Passiva;
PATL11;93,64;4,10;0,97;1.681.068,37;2,44;;;482.493.670,47;10.300,00;Ativa;
RBLG11;109,50;0,58;0,99;61.202,00;18,72;;;70.973.675,08;56,00;Ativa;
RSPD11;1.310,00;0,00;1,18;1.857,75;5,71;;;102.636.776,29;99,00;Ativa;
VERE11;239,61;7,50;0,77;;7,17;0,24;;172.125.493,83;50,00;Ativa;
VGHF11;9,80;0,71;1,01;250.858,70;35,94;;;160.146.466,10;2.557,00;Ativa;
VGIP11;104,20;11,23;1,09;2.948.279,71;1,21;;;332.556.512,59;23.740,00;Ativa;
VIDS11;0,00;0,00;;;13,02;;;28.311.021,39;314,00;Ativa;
