TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ANIM3;8,59;;-84,39;1,37;0,76;51,80;8,31;-2,89;29,36;29,69;0,33;0,02;2,44;2,08;-1,40;4,78;-1,63;-0,90;2,96;0,55;0,45;0,31;11,24;;27.628.304,30;6,26;-0,10;-0,26;3.469.233.034,95
APER3;49,31;0,11;5.549,86;3,16;1,92;100,00;-0,30;0,10;-1.843,93;-1.673,74;170,19;-0,29;5,62;15,62;-2,62;1,86;0,06;0,03;-0,44;0,61;0,39;0,34;-16,64;-31,12;3.632.838,00;15,60;0,01;-55,46;566.085.407,54
APTI3;197,64;;0,07;0,01;0,01;29,60;283,02;228,44;0,06;0,80;0,12;0,03;0,16;0,18;-0,01;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13;0,00;44.442.750,00
APTI4;3.500,00;;1,23;0,22;0,13;29,60;283,02;228,44;0,99;0,80;0,12;0,03;2,81;3,18;-0,16;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13;0,00;44.442.750,00
ARZZ3;72,83;0,73;149,35;5,38;2,56;47,47;5,79;3,05;78,78;79,57;0,79;0,05;4,56;11,10;-5,72;1,72;3,60;1,72;4,34;0,48;0,52;0,56;7,26;-16,50;50.494.011,42;13,54;0,49;-2,13;7.256.155.881,62
ASAI3;71,34;;;13,58;1,02;;;;;;;3,05;;-51,19;-1,83;0,96;0,00;0,00;;0,07;0,93;0,00;;;221.060.792,93;5,25;0,00;;19.144.200.789,78
ATMP3;5,00;;-0,58;0,74;0,07;1,81;-15,64;-22,72;-0,84;-2,60;-1,77;1,56;0,13;-0,36;-0,08;0,48;-128,42;-12,05;-33,09;0,09;0,91;0,53;-16,98;;909.038,88;6,74;-8,66;0,01;123.942.360,00
ATOM3;3,79;;6,42;5,45;2,91;100,00;32,02;40,02;8,03;6,53;-1,50;-1,02;2,57;3,49;-133,57;6,76;84,86;45,26;63,27;0,53;0,47;1,13;;;489.589,58;0,70;0,59;0,01;79.207.187,26
AURA33;65,00;;3,26;0,77;0,45;41,37;29,34;24,52;2,72;2,18;-0,54;-0,15;0,80;2,50;-0,76;1,80;23,69;13,82;21,76;0,58;0,42;0,56;;;10.482.355,85;84,26;19,96;0,01;1.253.689.125,00
AVLL3;23,60;;-1,71;2,74;0,26;-45,93;-167,05;-157,56;-1,61;-4,35;-2,74;4,67;2,69;4,32;-0,39;1,20;-160,67;-14,98;-27,79;0,09;0,90;0,10;;;107.153,70;8,60;-13,82;;529.012.738,40
AZEV3;5,37;;-0,87;-0,40;1,72;1.622,59;3.562,68;5.901,50;-1,45;-1,52;-0,42;;;-0,54;-3,95;0,15;-46,24;-197,29;47,51;-4,27;5,27;-0,03;-64,98;;510.822,21;-13,30;-6,15;-0,02;80.850.000,00
AZEV4;3,44;;-0,56;-0,26;1,10;1.622,59;3.562,68;5.901,50;-0,93;-1,52;-0,42;;;-0,34;-2,53;0,15;-46,24;-197,29;47,51;-4,27;5,27;-0,03;-64,98;;860.385,58;-13,30;-6,15;-0,01;80.850.000,00
AZUL4;41,99;;-4,89;-3,74;3,35;4,97;-24,36;-188,62;-37,83;-40,84;-3,00;;9,22;-11,04;-5,10;0,53;-76,58;-68,60;24,18;-0,90;1,90;0,36;-1,70;;295.185.693,67;-11,22;-8,59;-0,01;52.933.004.746,18
B3SA3;55,64;3,83;27,36;4,63;2,45;89,87;60,06;44,52;20,28;18,77;-1,51;-0,34;12,18;15,31;-3,89;1,77;16,93;8,96;13,42;0,53;0,47;0,20;33,29;13,50;1.016.929.459,97;12,01;2,03;0,52;113.616.880.000,00
BAHI3;71,00;;-4,67;1,89;0,31;41,33;-8,01;-21,39;-12,48;-13,13;-0,65;0,10;1,00;-1,83;-0,35;0,41;-40,47;-6,54;-16,19;0,16;0,83;0,31;;;64.402,38;37,55;-15,20;-0,01;159.214.589,00
BALM3;16,90;6,98;10,51;1,45;0,75;49,74;7,04;10,47;15,61;14,44;0,40;0,04;1,10;2,23;-2,29;2,02;13,81;7,18;4,54;0,52;0,45;0,69;5,12;-19,47;10.175,92;11,65;1,61;0,02;148.960.000,00
BALM4;13,50;8,74;8,39;1,16;0,60;49,74;7,04;10,47;12,47;14,44;0,40;0,04;0,88;1,78;-1,83;2,02;13,81;7,18;4,54;0,52;0,45;0,69;5,12;-19,47;18.221,52;11,65;1,61;0,02;148.960.000,00
BAUH4;95,00;0,90;21,17;5,40;3,33;23,26;12,97;12,28;20,05;19,03;-1,02;-0,27;2,60;45,94;-5,86;1,20;25,52;15,74;19,16;0,62;0,38;1,28;10,90;33,53;135.295,60;17,59;4,49;-1,66;496.111.090,00
BAZA3;41,50;8,64;4,63;0,51;0,06;37,94;42,64;27,94;3,04;3,04;;;1,29;2,44;-0,06;;10,99;1,28;;0,12;0,88;0,05;-8,12;1,30;48.394,76;81,52;8,96;-1,30;1.230.307.630,50
BBAS3;30,70;4,69;7,03;0,75;0,05;17,25;7,58;10,28;9,54;9,54;;;0,72;0,52;-0,05;33,26;10,72;0,70;;0,07;0,93;0,07;-7,77;-4,56;728.720.567,18;40,74;4,37;-0,21;87.968.302.514,00
BBDC3;23,30;2,59;12,49;1,44;0,15;-2,98;0,53;20,72;488,42;524,47;;;2,59;1,19;-0,17;11,43;11,51;1,21;;0,10;0,90;0,06;-3,00;-2,54;158.262.421,45;16,20;1,87;-0,57;221.932.720.605,64
BBDC4;26,74;2,49;14,33;1,65;0,17;-2,98;0,53;20,72;560,53;524,47;;;2,97;1,37;-0,20;11,43;11,51;1,21;;0,10;0,90;0,06;-3,00;-2,54;1.260.111.359,48;16,20;1,87;-0,66;221.932.720.605,64
BBML3;3.936,42;0,00;18.030,31;1.258,08;197,00;12,19;3,42;0,89;4.685,13;4.692,25;7,12;1,91;160,13;-3.731,96;-319,55;0,88;6,98;1,09;8,23;0,16;0,84;1,23;45,38;25,57;;3,13;0,22;-511,34;160.451.699.191,56
BBRK3;1,85;;-0,82;-3,48;0,71;62,65;-171,31;-175,32;-0,83;-0,62;0,22;;1,43;-6,26;-0,97;0,71;-426,12;-86,80;418,72;-0,20;1,20;0,50;-9,38;;1.008.901,88;-0,53;-2,27;-0,01;145.283.874,40
BBSE3;24,50;5,52;12,72;7,67;4,50;;;;10,25;10,25;;;;64,00;-6,73;1,27;60,27;35,33;;0,59;0,41;0,00;;-1,76;188.613.567,48;3,19;1,93;-0,30;49.000.000.000,00
BDLL3;11,16;;-0,11;-0,12;0,03;-60,25;-759,15;-662,22;-0,09;-1,37;-1,28;;0,72;-0,07;-0,04;0,51;-108,24;-24,25;-257,36;-0,22;1,22;0,04;-39,75;;211.143,63;-95,47;-103,34;0,00;15.503.045,04
BDLL4;8,79;;-0,09;-0,09;0,02;-60,25;-759,15;-662,22;-0,07;-1,37;-1,28;;0,56;-0,06;-0,03;0,51;-108,24;-24,25;-257,36;-0,22;1,22;0,04;-39,75;;72.486,94;-95,47;-103,34;0,00;15.503.045,04
BEEF3;9,81;3,06;7,73;6,42;0,32;19,76;9,24;3,59;3,01;5,89;2,89;6,17;0,28;1,10;-0,96;1,76;82,98;4,12;13,90;0,05;0,95;1,15;15,30;;95.691.979,94;1,53;1,27;0,00;5.391.788.818,14
BEES3;4,94;4,21;6,73;0,91;0,05;50,63;23,67;14,58;4,15;4,34;;;0,98;0,75;-0,06;;13,52;0,76;;0,06;0,94;0,05;-6,61;8,19;223.080,06;5,43;0,73;0,87;1.634.197.260,40
BEES4;5,81;3,58;7,92;1,07;0,06;50,63;23,67;14,58;4,88;4,34;;;1,15;0,88;-0,06;;13,52;0,76;;0,06;0,94;0,05;-6,61;8,19;18.660,18;5,43;0,73;1,03;1.634.197.260,40
BFRE11;0,00;;0,00;0,00;0,00;;;;0,00;;-16,03;-0,33;;0,00;0,00;13,21;4,60;4,40;-0,28;0,96;0,04;0,00;;-3,40;;256.545,33;11.800,56;0,00;
BFRE12;0,00;;0,00;0,00;0,00;;;;0,00;;-16,03;-0,33;;0,00;0,00;13,21;4,60;4,40;-0,28;0,96;0,04;0,00;;-3,40;;256.545,33;11.800,56;0,00;
BGIP3;39,00;2,54;10,97;1,22;0,09;71,66;12,77;8,57;7,36;5,91;;;0,94;-0,56;-0,18;0,77;11,14;0,80;;0,07;0,93;0,09;0,74;14,88;4.462,30;31,91;3,56;-0,31;478.423.317,00
BGIP4;23,60;4,62;6,64;0,74;0,05;71,66;12,77;8,57;4,46;5,91;;;0,57;-0,34;-0,11;0,77;11,14;0,80;;0,07;0,93;0,09;0,74;14,88;52.191,09;31,91;3,56;-0,19;478.423.317,00
BIDI11;154,62;0,14;-5.474,43;11,93;1,99;57,47;-9,54;-0,77;-443,55;-443,55;;;42,32;-21,46;-3,74;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;331.350.446,91;12,96;-0,03;50,17;39.399.477.003,30
BIDI3;51,42;0,14;-5.461,68;11,90;1,99;57,47;-9,54;-0,77;-442,52;-443,55;;;42,23;-21,41;-3,74;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;20.963.244,85;4,32;-0,01;50,05;39.399.477.003,30
BIDI4;50,93;0,14;-5.409,64;11,79;1,97;57,47;-9,54;-0,77;-438,30;-443,55;;;41,82;-21,20;-3,70;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;143.208.729,97;4,32;-0,01;49,57;39.399.477.003,30
BIOM3;14,93;;-17,33;9,31;2,90;26,49;-110,93;-132,84;-20,75;-23,39;-2,63;1,18;23,02;20,56;-4,28;1,78;-53,70;-16,75;-16,51;0,31;0,69;0,13;;;200.284,09;1,60;-0,86;-3,10;1.011.003.642,36
BKBR3;9,30;;-5,75;1,39;0,65;59,16;-17,30;-19,91;-6,61;-6,64;-0,03;0,01;1,14;4,62;-0,91;1,98;-24,24;-11,33;-15,04;0,47;0,53;0,57;18,70;;26.562.751,03;6,68;-1,62;0,01;2.560.805.657,10
BMEB3;18,28;4,25;6,34;0,97;0,09;66,23;10,12;6,76;4,24;4,12;;;0,43;0,45;-0,17;1,71;15,29;1,41;;0,09;0,91;0,21;-9,35;7,69;48.575,30;18,85;2,88;0,19;932.768.106,16
BMEB4;17,00;5,02;5,90;0,90;0,08;66,23;10,12;6,76;3,94;4,12;;;0,40;0,42;-0,16;1,71;15,29;1,41;;0,09;0,91;0,21;-9,35;7,69;219.997,48;18,85;2,88;0,18;932.768.106,16
BMGB4;5,11;3,50;7,64;0,74;0,12;72,00;3,27;10,15;23,73;23,73;;;0,78;;-0,12;;9,68;1,59;;0,16;0,84;0,16;;;9.126.693,12;6,91;0,67;0,20;3.022.434.853,41
BMIN3;22,35;;43,95;0,86;0,52;81,20;37,26;21,89;25,82;25,65;;;9,62;11,14;-0,71;1,21;1,96;1,19;;0,61;0,39;0,05;-1,79;-9,57;26.480,47;25,93;0,51;4,31;107.154.381,29
BMIN4;21,38;6,55;42,04;0,82;0,50;81,20;37,26;21,89;24,70;25,65;;;9,20;10,65;-0,68;1,21;1,96;1,19;;0,61;0,39;0,05;-1,79;-9,57;48.819,36;25,93;0,51;4,12;107.154.381,29
BMKS3;250,00;2,43;27,76;0,62;0,55;28,71;3,39;19,72;161,49;-41,65;-203,14;-0,78;5,47;0,71;-2,81;30,55;2,23;1,98;-0,74;0,89;0,11;0,10;-13,82;-25,48;12.027,87;404,66;9,01;1,76;113.687.500,00
BMOB3;19,77;;43,46;11,57;3,95;57,95;42,06;28,92;29,88;28,12;-1,77;-0,68;12,57;11,32;-7,35;4,03;26,62;9,08;24,16;0,34;0,66;0,31;;;70.358.016,15;1,71;0,45;;1.797.272.748,84
BNBR3;67,01;4,02;5,68;0,94;0,09;57,57;40,13;25,83;3,65;3,65;;;1,47;1,73;-0,10;;16,51;1,65;;0,10;0,90;0,06;-9,48;27,23;31.306,24;71,46;11,80;-0,14;5.787.751.802,64
BOAS3;10,25;0,54;298,99;16,02;5,97;42,69;9,91;2,79;84,24;87,70;3,46;0,66;8,35;-36,72;-8,33;0,64;5,36;2,00;5,46;0,37;0,63;0,72;;;13.350.491,67;0,64;0,03;-4,26;5.338.178.065,00
